TotalSpectrum-x_point	TotalSpectrum-y_point	TotalSpectrum-x_line	TotalSpectrum-y_line	Subspectrum2-x_line	Subspectrum2-y_line
0.681224	4156	0.681224	4200.49	0.681224	4200.49
0.700955	4356	0.700955	4203.32	0.700955	4203.32
0.72066	4070	0.72066	4205.95	0.72066	4205.95
0.740338	4322	0.740338	4208.42	0.740338	4208.42
0.759988	4302	0.759988	4210.73	0.759988	4210.73
0.77961	4292	0.77961	4212.89	0.77961	4212.89
0.799202	4201	0.799202	4214.92	0.799202	4214.92
0.818764	4370	0.818764	4216.82	0.818764	4216.82
0.838295	4128	0.838295	4218.62	0.838295	4218.62
0.857795	4258	0.857795	4220.31	0.857795	4220.31
0.877263	4175	0.877263	4221.9	0.877263	4221.9
0.896697	4283	0.896697	4223.4	0.896697	4223.4
0.916097	4334	0.916097	4224.83	0.916097	4224.83
0.935464	4211	0.935464	4226.17	0.935464	4226.17
0.954794	4163	0.954794	4227.45	0.954794	4227.45
0.974089	4153	0.974089	4228.65	0.974089	4228.65
0.993348	4262	0.993348	4229.8	0.993348	4229.8
1.01257	4265	1.01257	4230.89	1.01257	4230.89
1.03175	4311	1.03175	4231.92	1.03175	4231.92
1.05089	4213	1.05089	4232.91	1.05089	4232.91
1.07	4225	1.07	4233.85	1.07	4233.85
1.08906	4300	1.08906	4234.74	1.08906	4234.74
1.10809	4265	1.10809	4235.59	1.10809	4235.59
1.12707	4223	1.12707	4236.4	1.12707	4236.4
1.14601	4303	1.14601	4237.18	1.14601	4237.18
1.1649	4229	1.1649	4237.92	1.1649	4237.92
1.18375	4416	1.18375	4238.63	1.18375	4238.63
1.20256	4373	1.20256	4239.31	1.20256	4239.31
1.22132	4241	1.22132	4239.96	1.22132	4239.96
1.24004	4212	1.24004	4240.58	1.24004	4240.58
1.25871	4301	1.25871	4241.18	1.25871	4241.18
1.27733	4198	1.27733	4241.75	1.27733	4241.75
1.29591	4174	1.29591	4242.3	1.29591	4242.3
1.31443	4349	1.31443	4242.83	1.31443	4242.83
1.33291	4300	1.33291	4243.33	1.33291	4243.33
1.35133	4277	1.35133	4243.82	1.35133	4243.82
1.36971	4188	1.36971	4244.29	1.36971	4244.29
1.38803	4179	1.38803	4244.74	1.38803	4244.74
1.4063	4197	1.4063	4245.17	1.4063	4245.17
1.42452	4203	1.42452	4245.59	1.42452	4245.59
1.44268	4178	1.44268	4245.99	1.44268	4245.99
1.46079	4323	1.46079	4246.38	1.46079	4246.38
1.47885	4119	1.47885	4246.76	1.47885	4246.76
1.49684	4213	1.49684	4247.12	1.49684	4247.12
1.51479	4193	1.51479	4247.47	1.51479	4247.47
1.53267	4199	1.53267	4247.8	1.53267	4247.8
1.5505	4271	1.5505	4248.13	1.5505	4248.13
1.56827	4347	1.56827	4248.44	1.56827	4248.44
1.58598	4285	1.58598	4248.74	1.58598	4248.74
1.60363	4221	1.60363	4249.04	1.60363	4249.04
1.62122	4236	1.62122	4249.32	1.62122	4249.32
1.63875	4276	1.63875	4249.6	1.63875	4249.6
1.65622	4352	1.65622	4249.86	1.65622	4249.86
1.67363	4202	1.67363	4250.12	1.67363	4250.12
1.69097	4231	1.69097	4250.37	1.69097	4250.37
1.70825	4324	1.70825	4250.61	1.70825	4250.61
1.72546	4289	1.72546	4250.85	1.72546	4250.85
1.74261	4249	1.74261	4251.07	1.74261	4251.07
1.7597	4196	1.7597	4251.29	1.7597	4251.29
1.77671	4202	1.77671	4251.51	1.77671	4251.51
1.79366	4254	1.79366	4251.71	1.79366	4251.71
1.81055	4215	1.81055	4251.92	1.81055	4251.92
1.82736	4279	1.82736	4252.11	1.82736	4252.11
1.84411	4130	1.84411	4252.3	1.84411	4252.3
1.86079	4294	1.86079	4252.48	1.86079	4252.48
1.87739	4200	1.87739	4252.66	1.87739	4252.66
1.89393	4284	1.89393	4252.84	1.89393	4252.84
1.91039	4266	1.91039	4253.01	1.91039	4253.01
1.92679	4243	1.92679	4253.17	1.92679	4253.17
1.94311	4244	1.94311	4253.33	1.94311	4253.33
1.95935	4223	1.95935	4253.49	1.95935	4253.49
1.97553	4125	1.97553	4253.64	1.97553	4253.64
1.99163	4282	1.99163	4253.79	1.99163	4253.79
2.00765	4193	2.00765	4253.93	2.00765	4253.93
2.0236	4326	2.0236	4254.07	2.0236	4254.07
2.03947	4275	2.03947	4254.21	2.03947	4254.21
2.05527	4253	2.05527	4254.34	2.05527	4254.34
2.07098	4190	2.07098	4254.47	2.07098	4254.47
2.08663	4227	2.08663	4254.59	2.08663	4254.59
2.10219	4275	2.10219	4254.72	2.10219	4254.72
2.11767	4249	2.11767	4254.83	2.11767	4254.83
2.13307	4284	2.13307	4254.95	2.13307	4254.95
2.14839	4261	2.14839	4255.06	2.14839	4255.06
2.16364	4144	2.16364	4255.18	2.16364	4255.18
2.1788	4219	2.1788	4255.28	2.1788	4255.28
2.19387	4212	2.19387	4255.39	2.19387	4255.39
2.20887	4272	2.20887	4255.49	2.20887	4255.49
2.22378	4257	2.22378	4255.59	2.22378	4255.59
2.23861	4238	2.23861	4255.69	2.23861	4255.69
2.25335	4223	2.25335	4255.79	2.25335	4255.79
2.26801	4212	2.26801	4255.88	2.26801	4255.88
2.28259	4358	2.28259	4255.97	2.28259	4255.97
2.29707	4244	2.29707	4256.06	2.29707	4256.06
2.31148	4263	2.31148	4256.15	2.31148	4256.15
2.32579	4079	2.32579	4256.23	2.32579	4256.23
2.34002	4160	2.34002	4256.31	2.34002	4256.31
2.35416	4315	2.35416	4256.4	2.35416	4256.4
2.36821	4283	2.36821	4256.48	2.36821	4256.48
2.38217	4321	2.38217	4256.55	2.38217	4256.55
2.39604	4230	2.39604	4256.63	2.39604	4256.63
2.40982	4217	2.40982	4256.7	2.40982	4256.7
2.42351	4314	2.42351	4256.77	2.42351	4256.77
2.43711	4199	2.43711	4256.85	2.43711	4256.85
2.45062	4174	2.45062	4256.91	2.45062	4256.91
2.46403	4279	2.46403	4256.98	2.46403	4256.98
2.47736	4328	2.47736	4257.05	2.47736	4257.05
2.49059	4304	2.49059	4257.11	2.49059	4257.11
2.50372	4100	2.50372	4257.18	2.50372	4257.18
2.51676	4190	2.51676	4257.24	2.51676	4257.24
2.52971	4334	2.52971	4257.3	2.52971	4257.3
2.54256	4203	2.54256	4257.36	2.54256	4257.36
2.55531	4389	2.55531	4257.42	2.55531	4257.42
2.56797	4225	2.56797	4257.47	2.56797	4257.47
2.58054	4225	2.58054	4257.53	2.58054	4257.53
2.593	4330	2.593	4257.58	2.593	4257.58
2.60537	4257	2.60537	4257.64	2.60537	4257.64
2.61764	4360	2.61764	4257.69	2.61764	4257.69
2.62981	4366	2.62981	4257.74	2.62981	4257.74
2.64188	4222	2.64188	4257.79	2.64188	4257.79
2.65386	4249	2.65386	4257.84	2.65386	4257.84
2.66573	4276	2.66573	4257.89	2.66573	4257.89
2.6775	4332	2.6775	4257.93	2.6775	4257.93
2.68917	4174	2.68917	4257.98	2.68917	4257.98
2.70074	4224	2.70074	4258.03	2.70074	4258.03
2.71221	4299	2.71221	4258.07	2.71221	4258.07
2.72358	4284	2.72358	4258.11	2.72358	4258.11
2.73484	4213	2.73484	4258.15	2.73484	4258.15
2.746	4338	2.746	4258.2	2.746	4258.2
2.75706	4160	2.75706	4258.24	2.75706	4258.24
2.76801	4191	2.76801	4258.28	2.76801	4258.28
2.77886	4347	2.77886	4258.32	2.77886	4258.32
2.78961	4296	2.78961	4258.35	2.78961	4258.35
2.80025	4312	2.80025	4258.39	2.80025	4258.39
2.81078	4191	2.81078	4258.43	2.81078	4258.43
2.82121	4132	2.82121	4258.46	2.82121	4258.46
2.83153	4117	2.83153	4258.5	2.83153	4258.5
2.84175	4247	2.84175	4258.53	2.84175	4258.53
2.85186	4303	2.85186	4258.57	2.85186	4258.57
2.86186	4161	2.86186	4258.6	2.86186	4258.6
2.87175	4355	2.87175	4258.63	2.87175	4258.63
2.88154	4256	2.88154	4258.66	2.88154	4258.66
2.89122	4359	2.89122	4258.69	2.89122	4258.69
2.90078	4140	2.90078	4258.73	2.90078	4258.73
2.91025	4298	2.91025	4258.75	2.91025	4258.75
2.91959	4267	2.91959	4258.78	2.91959	4258.78
2.92883	4330	2.92883	4258.81	2.92883	4258.81
2.93796	4263	2.93796	4258.84	2.93796	4258.84
2.94698	4220	2.94698	4258.87	2.94698	4258.87
2.95589	4276	2.95589	4258.89	2.95589	4258.89
2.96469	4214	2.96469	4258.92	2.96469	4258.92
2.97337	4243	2.97337	4258.95	2.97337	4258.95
2.98194	4308	2.98194	4258.97	2.98194	4258.97
2.9904	4278	2.9904	4259	2.9904	4259
2.99875	4213	2.99875	4259.02	2.99875	4259.02
3.00699	4247	3.00699	4259.04	3.00699	4259.04
3.01511	4220	3.01511	4259.07	3.01511	4259.07
3.02312	4316	3.02312	4259.09	3.02312	4259.09
3.03101	4254	3.03101	4259.11	3.03101	4259.11
3.03879	4320	3.03879	4259.13	3.03879	4259.13
3.04646	4206	3.04646	4259.15	3.04646	4259.15
3.05401	4383	3.05401	4259.18	3.05401	4259.18
3.06145	4235	3.06145	4259.2	3.06145	4259.2
3.06877	4333	3.06877	4259.22	3.06877	4259.22
3.07597	4237	3.07597	4259.23	3.07597	4259.23
3.08306	4231	3.08306	4259.25	3.08306	4259.25
3.09004	4192	3.09004	4259.27	3.09004	4259.27
3.09689	4214	3.09689	4259.29	3.09689	4259.29
3.10364	4162	3.10364	4259.31	3.10364	4259.31
3.11026	4190	3.11026	4259.33	3.11026	4259.33
3.11677	4348	3.11677	4259.34	3.11677	4259.34
3.12316	4328	3.12316	4259.36	3.12316	4259.36
3.12943	4236	3.12943	4259.37	3.12943	4259.37
3.13558	4229	3.13558	4259.39	3.13558	4259.39
3.14162	4252	3.14162	4259.41	3.14162	4259.41
3.14754	4325	3.14754	4259.42	3.14754	4259.42
3.15334	4286	3.15334	4259.43	3.15334	4259.43
3.15902	4290	3.15902	4259.45	3.15902	4259.45
3.16458	4292	3.16458	4259.46	3.16458	4259.46
3.17002	4271	3.17002	4259.48	3.17002	4259.48
3.17534	4147	3.17534	4259.49	3.17534	4259.49
3.18055	4183	3.18055	4259.5	3.18055	4259.5
3.18563	4161	3.18563	4259.51	3.18563	4259.51
3.19059	4333	3.19059	4259.53	3.19059	4259.53
3.19544	4354	3.19544	4259.54	3.19544	4259.54
3.20016	4136	3.20016	4259.55	3.20016	4259.55
3.20476	4216	3.20476	4259.56	3.20476	4259.56
3.20925	4168	3.20925	4259.57	3.20925	4259.57
3.21361	4360	3.21361	4259.58	3.21361	4259.58
3.21785	4293	3.21785	4259.59	3.21785	4259.59
3.22197	4237	3.22197	4259.6	3.22197	4259.6
3.22597	4318	3.22597	4259.61	3.22597	4259.61
3.22984	4195	3.22984	4259.62	3.22984	4259.62
3.2336	4278	3.2336	4259.63	3.2336	4259.63
3.23723	4290	3.23723	4259.64	3.23723	4259.64
3.24074	4283	3.24074	4259.64	3.24074	4259.64
3.24413	4161	3.24413	4259.65	3.24413	4259.65
3.2474	4333	3.2474	4259.66	3.2474	4259.66
3.25054	4298	3.25054	4259.67	3.25054	4259.67
3.25357	4215	3.25357	4259.67	3.25357	4259.67
3.25647	4166	3.25647	4259.68	3.25647	4259.68
3.25924	4258	3.25924	4259.69	3.25924	4259.69
3.2619	4218	3.2619	4259.69	3.2619	4259.69
3.26443	4368	3.26443	4259.7	3.26443	4259.7
3.26684	4182	3.26684	4259.7	3.26684	4259.7
3.26912	4356	3.26912	4259.71	3.26912	4259.71
3.27129	4335	3.27129	4259.71	3.27129	4259.71
3.27333	4198	3.27333	4259.72	3.27333	4259.72
3.27524	4231	3.27524	4259.72	3.27524	4259.72
3.27704	4231	3.27704	4259.73	3.27704	4259.73
3.27871	4254	3.27871	4259.73	3.27871	4259.73
3.28025	4355	3.28025	4259.73	3.28025	4259.73
3.28168	4215	3.28168	4259.74	3.28168	4259.74
3.28298	4286	3.28298	4259.74	3.28298	4259.74
3.28415	4176	3.28415	4259.74	3.28415	4259.74
3.2852	4334	3.2852	4259.75	3.2852	4259.75
3.28613	4126	3.28613	4259.75	3.28613	4259.75
3.28694	4336	3.28694	4259.75	3.28694	4259.75
3.28762	4212	3.28762	4259.75	3.28762	4259.75
3.28817	4240	3.28817	4259.75	3.28817	4259.75
3.28861	4200	3.28861	4259.75	3.28861	4259.75
3.28892	4247	3.28892	4259.75	3.28892	4259.75
3.2891	4207	3.2891	4259.75	3.2891	4259.75
3.28917	4320	3.28917	4259.75	3.28917	4259.75
