TotalSpectrum-x_point	TotalSpectrum-y_point	TotalSpectrum-x_line	TotalSpectrum-y_line	Subspectrum2-x_line	Subspectrum2-y_line	Subspectrum3-x_line	Subspectrum3-y_line
-2.8541	147513	-2.8541	147635	-2.8541	147758	-2.8541	148294
-2.77606	148348	-2.77606	147733	-2.77606	147855	-2.77606	148296
-2.69792	148069	-2.69792	147807	-2.69792	147929	-2.69792	148295
-2.61967	148192	-2.61967	147862	-2.61967	147986	-2.61967	148294
-2.54133	147488	-2.54133	147904	-2.54133	148031	-2.54133	148291
-2.46288	148538	-2.46288	147935	-2.46288	148066	-2.46288	148287
-2.38435	147743	-2.38435	147958	-2.38435	148094	-2.38435	148281
-2.30573	147659	-2.30573	147972	-2.30573	148116	-2.30573	148274
-2.22702	147897	-2.22702	147980	-2.22702	148133	-2.22702	148264
-2.14822	147712	-2.14822	147981	-2.14822	148146	-2.14822	148252
-2.06935	147733	-2.06935	147975	-2.06935	148155	-2.06935	148237
-1.9904	148294	-1.9904	147962	-1.9904	148161	-1.9904	148218
-1.91137	148209	-1.91137	147940	-1.91137	148163	-1.91137	148194
-1.83227	148019	-1.83227	147909	-1.83227	148163	-1.83227	148164
-1.7531	148923	-1.7531	147864	-1.7531	148158	-1.7531	148124
-1.67387	147701	-1.67387	147803	-1.67387	148150	-1.67387	148070
-1.59457	148003	-1.59457	147718	-1.59457	148137	-1.59457	147998
-1.51521	147645	-1.51521	147597	-1.51521	148118	-1.51521	147897
-1.4358	147824	-1.4358	147424	-1.4358	148090	-1.4358	147751
-1.35633	147669	-1.35633	147165	-1.35633	148054	-1.35633	147529
-1.27681	147172	-1.27681	146764	-1.27681	148009	-1.27681	147173
-1.19724	146125	-1.19724	146105	-1.19724	147952	-1.19724	146571
-1.11763	147180	-1.11763	144953	-1.11763	147870	-1.11763	145500
-1.03798	144861	-1.03798	143020	-1.03798	147750	-1.03798	143688
-0.958281	142766	-0.958281	140891	-0.958281	147568	-0.958281	141741
-0.878551	143706	-0.878551	140999	-0.878551	147284	-0.878551	142132
-0.798788	145019	-0.798788	142643	-0.798788	146824	-0.798788	144237
-0.718995	144869	-0.718995	143483	-0.718995	146060	-0.718995	145841
-0.639175	143798	-0.639175	143201	-0.639175	144862	-0.639175	146757
-0.559331	141747	-0.559331	142402	-0.559331	143544	-0.559331	147276
-0.479466	141123	-0.479466	142571	-0.479466	143403	-0.479466	147585
-0.399582	142979	-0.399582	143995	-0.399582	144633	-0.399582	147779
-0.319684	145456	-0.319684	145387	-0.319684	145897	-0.319684	147908
-0.239773	145884	-0.239773	146304	-0.239773	146725	-0.239773	147996
-0.159854	146863	-0.159854	146865	-0.159854	147225	-0.159854	148057
-0.079928	146615	-0.079928	147215	-0.079928	147531	-0.079928	148101
0	147387	0	147441	0	147726	0	148133
0.079928	148146	0.079928	147593	0.079928	147855	0.079928	148155
0.159854	148026	0.159854	147696	0.159854	147944	0.159854	148170
0.239773	147958	0.239773	147767	0.239773	148006	0.239773	148178
0.319684	147866	0.319684	147813	0.319684	148049	0.319684	148181
0.399582	147517	0.399582	147842	0.399582	148080	0.399582	148180
0.479466	147736	0.479466	147855	0.479466	148100	0.479466	148172
0.559331	148346	0.559331	147855	0.559331	148113	0.559331	148159
0.639175	148126	0.639175	147840	0.639175	148118	0.639175	148139
0.718995	148155	0.718995	147810	0.718995	148117	0.718995	148110
0.798788	147908	0.798788	147763	0.798788	148110	0.798788	148070
0.878551	147833	0.878551	147692	0.878551	148096	0.878551	148013
0.958281	148377	0.958281	147589	0.958281	148073	0.958281	147933
1.03798	147276	1.03798	147439	1.03798	148039	1.03798	147817
1.11763	147475	1.11763	147217	1.11763	147991	1.11763	147643
1.19724	147675	1.19724	146876	1.19724	147924	1.19724	147370
1.27681	147388	1.27681	146327	1.27681	147827	1.27681	146918
1.35633	147103	1.35633	145396	1.35633	147684	1.35633	146130
1.4358	145258	1.4358	143783	1.4358	147467	1.4358	144733
1.51521	143445	1.51521	141375	1.51521	147126	1.51521	142667
1.59457	142638	1.59457	139757	1.59457	146566	1.59457	141609
1.67387	142406	1.67387	140408	1.67387	145646	1.67387	143179
1.7531	142858	1.7531	141041	1.7531	144320	1.7531	145138
1.83227	141378	1.83227	141228	1.83227	143282	1.83227	146363
1.91137	141944	1.91137	142399	1.91137	143763	1.91137	147053
1.9904	144196	1.9904	144159	1.9904	145121	1.9904	147455
2.06935	145224	2.06935	145512	2.06935	146226	2.06935	147703
2.14822	147034	2.14822	146365	2.14822	146918	2.14822	147864
2.22702	147180	2.22702	146894	2.22702	147337	2.22702	147975
2.30573	148274	2.30573	147234	2.30573	147598	2.30573	148053
2.38435	147277	2.38435	147460	2.38435	147767	2.38435	148110
2.46288	147886	2.46288	147615	2.46288	147879	2.46288	148153
2.54133	147776	2.54133	147724	2.54133	147956	2.54133	148186
2.61967	147706	2.61967	147806	2.61967	148012	2.61967	148211
2.69792	148144	2.69792	147871	2.69792	148058	2.69792	148231
2.77606	148069	2.77606	147923	2.77606	148093	2.77606	148247
2.8541	148122	2.8541	147961	2.8541	148119	2.8541	148260
2.93203	147895	2.93203	147990	2.93203	148138	2.93203	148270
3.00985	148380	3.00985	148010	3.00985	148150	3.00985	148277
3.08756	147983	3.08756	148024	3.08756	148158	3.08756	148283
3.16516	148036	3.16516	148033	3.16516	148162	3.16516	148288
3.24263	148687	3.24263	148036	3.24263	148163	3.24263	148291
3.31998	148195	3.31998	148036	3.31998	148161	3.31998	148292
3.39721	148437	3.39721	148030	3.39721	148155	3.39721	148292
3.47431	148574	3.47431	148021	3.47431	148147	3.47431	148291
3.55127	148903	3.55127	148006	3.55127	148135	3.55127	148289
3.62811	148605	3.62811	147986	3.62811	148119	3.62811	148284
3.70481	147706	3.70481	147959	3.70481	148098	3.70481	148279
3.78136	148150	3.78136	147925	3.78136	148072	3.78136	148270
3.85778	147871	3.85778	147882	3.85778	148040	3.85778	148260
3.93405	148610	3.93405	147827	3.93405	147999	3.93405	148246
4.01017	148153	4.01017	147757	4.01017	147947	4.01017	148227
4.08614	147522	4.08614	147667	4.08614	147881	4.08614	148203
4.16196	147276	4.16196	147550	4.16196	147796	4.16196	148172
4.23762	147658	4.23762	147394	4.23762	147683	4.23762	148128
4.31312	147629	4.31312	147183	4.31312	147532	4.31312	148068
4.38846	147038	4.38846	146888	4.38846	147323	4.38846	147982
4.46364	146775	4.46364	146462	4.46364	147025	4.46364	147854
4.53864	145612	4.53864	145822	4.53864	146586	4.53864	147654
4.61348	144723	4.61348	144822	4.61348	145914	4.61348	147326
4.68814	142917	4.68814	143215	4.68814	144847	4.68814	146786
4.76262	139274	4.76262	140744	4.76262	143148	4.76262	146013
4.83693	135404	4.83693	137597	4.83693	140703	4.83693	145312
4.91105	132759	4.91105	134846	4.91105	138445	4.91105	144818
