Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\gelbes_bls.txt
Date / time: 20.11.2024, 10:01:45
Sample: Gelbes Bls
Comments: 20,0 mV
Channel #	Counts	Counts (folded)
    524	  15285	      0
    525	  15019	      0
    526	  15087	      0
    527	  14968	      0
    528	  15120	      0
    529	  15260	      0
    530	  15081	      0
    531	  15145	      0
    532	  15090	      0
    533	  14971	      0
    534	  15281	      0
    535	  14901	      0
    536	  15147	      0
    537	  14947	      0
    538	  15127	      0
    539	  15200	      0
    540	  14920	      0
    541	  14937	      0
    542	  15206	      0
    543	  15309	      0
    544	  15001	      0
    545	  15097	      0
    546	  15084	      0
    547	  15169	      0
    548	  14981	      0
    549	  15012	      0
    550	  15322	      0
    551	  15150	      0
    552	  15198	      0
    553	  14863	      0
    554	  15308	      0
    555	  14868	      0
    556	  15057	      0
    557	  14950	      0
    558	  15270	      0
    559	  15248	      0
    560	  14891	      0
    561	  14908	      0
    562	  15133	      0
    563	  15002	      0
    564	  15095	      0
    565	  15047	      0
    566	  15061	      0
    567	  14987	      0
    568	  15174	      0
    569	  15059	      0
    570	  14974	      0
    571	  15260	      0
    572	  15034	      0
    573	  14949	      0
    574	  15105	      0
    575	  15047	      0
    576	  14891	      0
    577	  15082	      0
    578	  14961	      0
    579	  15206	      0
    580	  15145	      0
    581	  15197	      0
    582	  14917	      0
    583	  15077	      0
    584	  15056	      0
    585	  15167	      0
    586	  15028	      0
    587	  15051	      0
    588	  15105	      0
    589	  15225	      0
    590	  15047	      0
    591	  15162	      0
    592	  15185	      0
    593	  15322	      0
    594	  15129	      0
    595	  15175	      0
    596	  15122	      0
    597	  15114	      0
    598	  14969	      0
    599	  15164	      0
    600	  15122	      0
    601	  15012	      0
    602	  15132	      0
    603	  14947	      0
    604	  15460	      0
    605	  15241	      0
    606	  14937	      0
    607	  15208	      0
    608	  15098	      0
    609	  15061	      0
    610	  14996	      0
    611	  14999	      0
    612	  15144	      0
    613	  15096	      0
    614	  14942	      0
    615	  15304	      0
    616	  15256	      0
    617	  15075	      0
    618	  15030	      0
    619	  14999	      0
    620	  15073	      0
    621	  15104	      0
    622	  15160	      0
    623	  15051	      0
    624	  14994	      0
    625	  15213	      0
    626	  15167	      0
    627	  15075	      0
    628	  14988	      0
    629	  15083	      0
    630	  15036	      0
    631	  15233	      0
    632	  15043	      0
    633	  15271	      0
    634	  15289	      0
    635	  15073	      0
    636	  15225	      0
    637	  15070	      0
    638	  14942	      0
    639	  15064	      0
    640	  14916	      0
    641	  15201	      0
    642	  15061	      0
    643	  15031	      0
    644	  15249	      0
    645	  14920	      0
    646	  15157	      0
    647	  15223	      0
    648	  15208	      0
    649	  15113	      0
    650	  14912	      0
    651	  15196	      0
    652	  15187	      0
    653	  15000	      0
    654	  14940	      0
    655	  14965	      0
    656	  15171	      0
    657	  14876	      0
    658	  15109	      0
    659	  14957	      0
    660	  15280	      0
    661	  15052	      0
    662	  15080	      0
    663	  15140	      0
    664	  14992	      0
    665	  15198	      0
    666	  15130	      0
    667	  15049	      0
    668	  14964	      0
    669	  14944	      0
    670	  15090	      0
    671	  15165	      0
    672	  15141	      0
    673	  15117	      0
    674	  15069	      0
    675	  15118	      0
    676	  15036	      0
    677	  15146	      0
    678	  15096	      0
    679	  15025	      0
    680	  15260	      0
    681	  15262	      0
    682	  14971	      0
    683	  15270	      0
    684	  15155	      0
    685	  15215	      0
    686	  15089	      0
    687	  14850	      0
    688	  14983	      0
    689	  14963	      0
    690	  15175	      0
    691	  15177	      0
    692	  15065	      0
    693	  14995	      0
    694	  15154	      0
    695	  15181	      0
    696	  14934	      0
    697	  15031	      0
    698	  15038	      0
    699	  15052	      0
    700	  15098	      0
    701	  15114	      0
    702	  15057	      0
    703	  15049	      0
    704	  14938	      0
    705	  14935	      0
    706	  15120	      0
    707	  15253	      0
    708	  14952	      0
    709	  15124	      0
    710	  14820	      0
    711	  15216	      0
    712	  15163	      0
    713	  15472	      0
    714	  15110	      0
    715	  14974	      0
    716	  15292	      0
    717	  15210	      0
    718	  14946	      0
    719	  15345	      0
    720	  15210	      0
    721	  14845	      0
    722	  15048	      0
    723	  15003	      0
    724	  14978	      0
    725	  15134	      0
    726	  15061	      0
    727	  14935	      0
    728	  14896	      0
    729	  14964	      0
    730	  14924	      0
    731	  14857	      0
    732	  15048	      0
    733	  14764	      0
    734	  15221	      0
    735	  14888	      0
    736	  15197	      0
    737	  14950	      0
    738	  14691	      0
    739	  14681	      0
    740	  14586	      0
    741	  14734	      0
    742	  15107	      0
    743	  14605	      0
    744	  14674	      0
    745	  14904	      0
    746	  14525	      0
    747	  14639	      0
    748	  14535	      0
    749	  14513	      0
    750	  14284	      0
    751	  14137	      0
    752	  14101	      0
    753	  13845	      0
    754	  13962	      0
    755	  13363	      0
    756	  13305	      0
    757	  12634	      0
    758	  12752	      0
    759	  12511	      0
    760	  12506	      0
    761	  12448	      0
    762	  12689	      0
    763	  12482	      0
    764	  12857	      0
    765	  13055	      0
    766	  13443	      0
    767	  13662	      0
    768	  13624	      0
    769	  13979	      0
    770	  14024	      0
    771	  14293	      0
    772	  14473	      0
    773	  14171	      0
    774	  14709	      0
    775	  14480	      0
    776	  14748	      0
    777	  14944	      0
    778	  14761	      0
    779	  14681	      0
    780	  14851	      0
    781	  14913	      0
    782	  14727	      0
    783	  14973	      0
    784	  14968	      0
    785	  15009	      0
    786	  14786	      0
    787	  15029	      0
    788	  14914	      0
    789	  14901	      0
    790	  14933	      0
    791	  14879	      0
    792	  14934	      0
    793	  14869	      0
    794	  15152	      0
    795	  15008	      0
    796	  14995	      0
    797	  14957	      0
    798	  15204	      0
    799	  15139	      0
    800	  15094	      0
    801	  14898	      0
    802	  15096	      0
    803	  15006	      0
    804	  14996	      0
    805	  15123	      0
    806	  15045	      0
    807	  15000	      0
    808	  15069	      0
    809	  15136	      0
    810	  14999	      0
    811	  15110	      0
    812	  15099	      0
    813	  14922	      0
    814	  15014	      0
    815	  14813	      0
    816	  15119	      0
    817	  15019	      0
    818	  14876	      0
    819	  15109	      0
    820	  14934	      0
    821	  15006	      0
    822	  14991	      0
    823	  14854	      0
    824	  14849	      0
    825	  15313	      0
    826	  15170	      0
    827	  15173	      0
    828	  15090	      0
    829	  14971	      0
    830	  15005	      0
    831	  15088	      0
    832	  15044	      0
    833	  15014	      0
    834	  14968	      0
    835	  15153	      0
    836	  14969	      0
    837	  15187	      0
    838	  14952	      0
    839	  14841	      0
    840	  14774	      0
    841	  15039	      0
    842	  15116	      0
    843	  14973	      0
    844	  15099	      0
    845	  14988	      0
    846	  15085	      0
    847	  15294	      0
