Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\rotes_bls.txt
Date / time: 19.11.2024, 16:07:00
Sample: Rotes Bls
Comments: 8.2 mV
Channel #	Counts	Counts (folded)
    547	  19485	      0
    548	  19509	      0
    549	  19499	      0
    550	  19450	      0
    551	  19548	      0
    552	  19428	      0
    553	  19537	      0
    554	  19651	      0
    555	  19350	      0
    556	  19448	      0
    557	  19453	      0
    558	  19500	      0
    559	  19839	      0
    560	  19583	      0
    561	  19591	      0
    562	  19375	      0
    563	  19244	      0
    564	  19701	      0
    565	  19411	      0
    566	  19629	      0
    567	  19779	      0
    568	  19461	      0
    569	  19428	      0
    570	  19493	      0
    571	  19595	      0
    572	  19598	      0
    573	  19670	      0
    574	  19611	      0
    575	  19473	      0
    576	  19464	      0
    577	  19856	      0
    578	  19609	      0
    579	  19598	      0
    580	  19544	      0
    581	  19322	      0
    582	  19351	      0
    583	  19295	      0
    584	  19435	      0
    585	  19405	      0
    586	  19621	      0
    587	  19560	      0
    588	  19618	      0
    589	  19486	      0
    590	  19540	      0
    591	  19552	      0
    592	  19404	      0
    593	  19570	      0
    594	  19497	      0
    595	  19334	      0
    596	  19422	      0
    597	  19455	      0
    598	  19167	      0
    599	  19535	      0
    600	  19292	      0
    601	  19614	      0
    602	  19590	      0
    603	  19360	      0
    604	  19299	      0
    605	  19687	      0
    606	  19379	      0
    607	  19445	      0
    608	  19450	      0
    609	  19444	      0
    610	  19467	      0
    611	  19307	      0
    612	  19304	      0
    613	  19599	      0
    614	  19217	      0
    615	  19524	      0
    616	  19477	      0
    617	  19335	      0
    618	  19392	      0
    619	  19387	      0
    620	  19291	      0
    621	  19485	      0
    622	  19243	      0
    623	  19370	      0
    624	  19647	      0
    625	  19581	      0
    626	  19445	      0
    627	  19572	      0
    628	  19383	      0
    629	  19606	      0
    630	  19573	      0
    631	  19585	      0
    632	  19334	      0
    633	  19392	      0
    634	  19348	      0
    635	  19235	      0
    636	  19539	      0
    637	  19541	      0
    638	  19294	      0
    639	  19507	      0
    640	  19483	      0
    641	  19269	      0
    642	  19510	      0
    643	  19620	      0
    644	  19285	      0
    645	  19356	      0
    646	  19497	      0
    647	  19328	      0
    648	  19421	      0
    649	  19375	      0
    650	  19252	      0
    651	  19377	      0
    652	  19483	      0
    653	  19462	      0
    654	  19276	      0
    655	  19444	      0
    656	  19539	      0
    657	  19408	      0
    658	  19491	      0
    659	  19552	      0
    660	  19427	      0
    661	  19315	      0
    662	  19365	      0
    663	  19553	      0
    664	  19208	      0
