Zeit	Kanal A	Kanal B
(ms)	(V)	(V)

2.01968006	-0.82969370	-0.98901950
2.01988806	-0.82969370	-0.98901950
2.02009606	-0.86921750	-0.98901950
2.02030406	-0.82969370	-0.94949560
2.02051206	-0.82969370	-0.98901950
2.02072006	-0.82969370	-0.94949560
2.02092806	-0.82969370	-0.98901950
2.02113606	-0.82969370	-0.98901950
2.02134406	-0.82969370	-0.98901950
2.02155206	-0.86921750	-0.98901950
2.02176006	-0.82969370	-0.98901950
2.02196806	-0.86921750	-0.94949560
2.02217606	-0.86921750	-0.98901950
2.02238406	-0.82969370	-1.02854300
2.02259206	-0.82969370	-0.98901950
2.02280006	-0.82969370	-0.98901950
2.02300806	-0.86921750	-0.98901950
2.02321606	-0.86921750	-0.98901950
2.02342406	-0.82969370	-0.98901950
2.02363206	-0.82969370	-0.98901950
2.02384006	-0.86921750	-0.98901950
2.02404806	-0.82969370	-0.98901950
2.02425606	-0.86921750	-0.98901950
2.02446406	-0.86921750	-0.98901950
2.02467206	-0.86921750	-0.98901950
2.02488006	-0.79016980	-0.94949560
2.02508806	-0.82969370	-0.98901950
2.02529606	-0.82969370	-1.02854300
2.02550406	-0.86921750	-0.98901950
2.02571206	-0.86921750	-0.98901950
2.02592006	-0.86921750	-1.02854300
2.02612806	-0.82969370	-1.02854300
2.02633606	-0.82969370	-0.98901950
2.02654406	-0.82969370	-0.98901950
2.02675206	-0.82969370	-1.02854300
2.02696006	-0.82969370	-1.02854300
2.02716806	-0.82969370	-0.98901950
2.02737606	-0.86921750	-0.98901950
2.02758406	-0.86921750	-0.94949560
2.02779206	-0.82969370	-0.98901950
2.02800006	-0.86921750	-0.98901950
2.02820806	-0.86921750	-1.02854300
2.02841606	-0.82969370	-0.98901950
2.02862406	-0.86921750	-0.98901950
2.02883206	-0.86921750	-0.98901950
2.02904006	-0.86921750	-1.02854300
2.02924806	-0.82969370	-0.98901950
2.02945606	-0.86921750	-1.02854300
2.02966406	-0.82969370	-1.02854300
2.02987206	-0.86921750	-0.98901950
2.03008006	-0.86921750	-1.02854300
2.03028806	-0.86921750	-0.98901950
2.03049606	-0.86921750	-1.02854300
2.03070406	-0.86921750	-1.02854300
2.03091206	-0.86921750	-0.98901950
2.03112006	-0.86921750	-0.98901950
2.03132806	-0.86921750	-1.02854300
2.03153606	-0.86921750	-0.98901950
2.03174406	-0.86921750	-0.98901950
2.03195206	-0.86921750	-0.94949560
2.03216006	-0.82969370	-1.02854300
2.03236806	-0.82969370	-0.98901950
2.03257606	-0.86921750	-0.98901950
2.03278406	-0.86921750	-1.02854300
2.03299206	-0.82969370	-0.98901950
2.03320006	-0.86921750	-0.98901950
2.03340806	-0.86921750	-0.98901950
2.03361606	-0.86921750	-1.02854300
2.03382406	-0.90874140	-0.98901950
2.03403206	-0.86921750	-0.98901950
2.03424006	-0.86921750	-0.98901950
2.03444806	-0.86921750	-1.02854300
2.03465606	-0.86921750	-1.02854300
2.03486406	-0.86921750	-0.98901950
2.03507206	-0.86921750	-1.02854300
2.03528006	-0.86921750	-1.02854300
2.03548806	-0.86921750	-1.02854300
2.03569606	-0.86921750	-1.02854300
2.03590406	-0.82969370	-1.02854300
2.03611206	-0.86921750	-1.02854300
2.03632006	-0.86921750	-0.98901950
2.03652806	-0.86921750	-0.98901950
2.03673606	-0.90874140	-1.02854300
2.03694406	-0.90874140	-1.02854300
2.03715206	-0.82969370	-0.98901950
2.03736006	-0.90874140	-1.02854300
2.03756806	-0.90874140	-1.02854300
2.03777606	-0.86921750	-0.98901950
2.03798406	-0.82969370	-0.98901950
2.03819206	-0.90874140	-1.02854300
2.03840006	-0.86921750	-1.02854300
2.03860806	-0.90874140	-1.02854300
2.03881606	-0.86921750	-1.02854300
2.03902406	-0.86921750	-1.02854300
2.03923206	-0.86921750	-1.02854300
2.03944006	-0.86921750	-1.02854300
2.03964806	-0.86921750	-1.02854300
2.03985606	-0.86921750	-1.02854300
2.04006406	-0.86921750	-0.98901950
2.04027206	-0.86921750	-0.98901950
2.04048006	-0.86921750	-1.02854300
2.04068806	-0.90874140	-1.02854300
2.04089606	-0.86921750	-1.02854300
2.04110406	-0.82969370	-0.98901950
2.04131206	-0.86921750	-0.98901950
2.04152006	-0.90874140	-1.02854300
2.04172806	-0.90874140	-0.98901950
2.04193606	-0.90874140	-1.02854300
2.04214406	-0.86921750	-1.02854300
2.04235206	-0.90874140	-1.02854300
2.04256006	-0.86921750	-1.02854300
2.04276806	-0.90874140	-1.02854300
2.04297606	-0.86921750	-1.02854300
2.04318406	-0.86921750	-1.02854300
2.04339206	-0.86921750	-1.02854300
2.04360006	-0.90874140	-1.02854300
2.04380806	-0.86921750	-1.02854300
2.04401606	-0.90874140	-1.02854300
2.04422406	-0.90874140	-1.02854300
2.04443206	-0.90874140	-1.06822100
2.04464006	-0.90874140	-1.02854300
2.04484806	-0.86921750	-1.02854300
2.04505606	-0.86921750	-1.02854300
2.04526406	-0.90874140	-1.02854300
2.04547206	-0.86921750	-1.02854300
2.04568006	-0.90874140	-0.98901950
2.04588806	-0.90874140	-0.98901950
2.04609606	-0.90874140	-1.02854300
2.04630406	-0.90874140	-1.02854300
2.04651206	-0.86921750	-1.02854300
2.04672006	-0.86921750	-1.02854300
2.04692806	-0.90874140	-1.02854300
2.04713606	-0.90874140	-1.02854300
2.04734406	-0.90874140	-1.02854300
2.04755206	-0.86921750	-1.02854300
2.04776006	-0.86921750	-1.02854300
2.04796806	-0.86921750	-1.02854300
2.04817606	-0.90874140	-1.02854300
2.04838406	-0.86921750	-0.98901950
2.04859206	-0.90874140	-1.02854300
2.04880006	-0.86921750	-1.02854300
2.04900806	-0.86921750	-1.02854300
2.04921606	-0.86921750	-1.02854300
2.04942406	-0.90874140	-1.02854300
2.04963206	-0.90874140	-1.02854300
2.04984006	-0.90874140	-1.02854300
2.05004806	-0.86921750	-1.02854300
2.05025606	-0.90874140	-1.02854300
2.05046406	-0.90874140	-1.02854300
2.05067206	-0.86921750	-1.06822100
2.05088006	-0.82969370	-1.02854300
2.05108806	-0.90874140	-1.02854300
2.05129606	-0.86921750	-1.02854300
2.05150406	-0.90874140	-1.02854300
2.05171206	-0.86921750	-0.98901950
2.05192006	-0.86921750	-1.02854300
2.05212806	-0.86921750	-1.02854300
2.05233606	-0.90874140	-1.02854300
2.05254406	-0.86921750	-0.98901950
2.05275206	-0.86921750	-1.02854300
2.05296006	-0.90874140	-1.02854300
2.05316806	-0.90874140	-1.02854300
2.05337606	-0.90874140	-1.02854300
2.05358406	-0.90874140	-1.02854300
2.05379206	-0.90874140	-1.02854300
2.05400006	-0.90874140	-1.02854300
2.05420806	-0.86921750	-1.02854300
2.05441606	-0.86921750	-1.02854300
2.05462406	-0.90874140	-1.02854300
2.05483206	-0.90874140	-1.02854300
2.05504006	-0.90874140	-1.06822100
2.05524806	-0.86921750	-1.06822100
2.05545606	-0.90874140	-1.02854300
2.05566406	-0.90874140	-1.02854300
2.05587206	-0.90874140	-1.02854300
2.05608006	-0.90874140	-1.02854300
2.05628806	-0.86921750	-1.06822100
2.05649606	-0.90874140	-1.02854300
2.05670406	-0.90874140	-1.06822100
2.05691206	-0.90874140	-1.02854300
2.05712006	-0.86921750	-0.98901950
2.05732806	-0.86921750	-1.02854300
2.05753606	-0.90874140	-1.02854300
2.05774406	-0.86921750	-1.06822100
2.05795206	-0.90874140	-1.02854300
2.05816006	-0.86921750	-1.02854300
2.05836806	-0.90874140	-1.02854300
2.05857606	-0.90874140	-1.02854300
2.05878406	-0.90874140	-1.02854300
2.05899206	-0.90874140	-1.06822100
2.05920006	-0.94811150	-1.02854300
2.05940806	-0.90874140	-1.02854300
2.05961606	-0.94811150	-1.06822100
2.05982406	-0.90874140	-1.02854300
2.06003206	-0.90874140	-1.02854300
2.06024006	-0.90874140	-1.06822100
2.06044806	-0.90874140	-1.06822100
2.06065606	-0.90874140	-1.06822100
2.06086406	-0.90874140	-1.06822100
2.06107206	-0.90874140	-1.02854300
2.06128006	-0.90874140	-1.02854300
2.06148806	-0.90874140	-1.02854300
2.06169606	-0.90874140	-1.06822100
2.06190406	-0.90874140	-1.06822100
2.06211206	-0.90874140	-1.02854300
2.06232006	-0.90874140	-1.06822100
2.06252806	-0.90874140	-1.06822100
2.06273606	-0.94811150	-1.02854300
2.06294406	-0.90874140	-1.06822100
2.06315206	-0.90874140	-1.06822100
