Messpunkt Versuch 29: Molw�rme von Silicium
Beginn der Aufnahme: Do, 4. Jul 2024, 16:10:05
Temperaturverh�ltnisse zu Messbeginn
Schildtemperatur / �C =  -2,661
Schilddrift / K/min   =  -0,437
Probentemperatur / �C =   2,688
Probendrift / K/min   =  -0,771
t / s	T_Probe / C
322,71	5,7111
323,21	6,2494
323,58	6,2494
323,95	5,8905
324,33	6,4545
324,68	6,4545
325,05	5,6085
325,51	5,8136
325,87	5,8136
326,24	5,8649
326,60	5,8649
326,95	5,7111
327,30	6,3263
327,79	6,3263
328,14	5,8905
328,50	6,4288
328,86	6,4288
329,24	5,7623
329,59	5,7623
330,08	5,6854
330,46	6,2494
330,90	5,7880
331,27	5,7880
331,64	5,9161
332,02	5,9161
332,38	5,7623
332,74	6,3519
333,10	6,3519
333,46	5,6598
333,91	5,9930
334,29	5,9930
334,66	5,8392
335,12	5,8136
335,50	5,8136
335,87	5,7367
336,25	6,0443
336,63	6,0443
337,00	6,5314
337,39	6,5314
337,76	5,7367
338,13	6,2750
338,49	6,2750
338,85	5,6085
339,30	5,9161
339,65	5,9161
340,01	6,0187
340,36	6,0187
340,73	5,6085
341,10	6,3776
341,68	6,0699
342,05	6,0699
342,41	6,4801
342,77	6,4801
343,13	5,6342
343,49	6,0956
343,85	6,0956
344,21	6,0956
