Messpunkt Versuch 29: Molw�rme von Silicium
Beginn der Aufnahme: Do, 4. Jul 2024, 15:34:54
Temperaturverh�ltnisse zu Messbeginn
Schildtemperatur / �C = -63,454
Schilddrift / K/min   =  -0,031
Probentemperatur / �C = -56,204
Probendrift / K/min   =  -0,191
t / s	T_Probe / C
280,50	-53,037
280,86	-52,785
281,22	-52,785
281,59	-53,339
281,95	-52,936
282,31	-52,936
282,67	-52,785
283,03	-52,785
283,39	-53,288
283,75	-52,886
284,11	-52,886
284,48	-52,836
284,85	-52,836
285,22	-53,263
285,58	-52,811
285,95	-52,811
286,31	-53,062
286,68	-53,062
287,05	-53,364
287,42	-52,886
287,92	-53,238
288,28	-53,238
288,64	-52,760
289,00	-52,760
289,36	-53,464
289,73	-53,112
290,10	-53,112
290,46	-52,685
290,83	-52,685
291,20	-53,288
291,57	-52,936
292,07	-52,936
292,43	-52,911
292,80	-52,886
293,16	-52,886
293,52	-53,364
293,98	-53,314
294,34	-53,314
294,70	-52,961
295,06	-52,961
295,43	-53,414
295,80	-52,961
296,17	-52,961
296,54	-53,288
296,99	-53,163
297,35	-53,163
297,71	-53,238
298,09	-53,238
298,46	-53,364
298,82	-52,961
299,19	-52,961
299,55	-53,464
299,94	-53,037
300,30	-53,037
300,66	-52,785
301,02	-52,785
301,38	-53,389
301,75	-52,961
302,13	-52,961
302,51	-52,861
302,88	-52,861
303,26	-53,439
303,64	-53,012
304,00	-53,012
304,36	-53,439
304,73	-53,163
305,09	-53,163
305,46	-52,886
305,95	-53,439
306,33	-53,439
306,70	-52,811
307,08	-52,811
307,44	-53,288
307,80	-52,936
308,16	-52,936
308,52	-53,414
